Site,Year,Month,Day,Hour,Value,Unit
Beijing,2014,4,23,10,164,mcg/m^3
Beijing,2014,4,23,11,174,mcg/m^3
Beijing,2014,4,23,12,185,mcg/m^3
Beijing,2014,4,23,13,168,mcg/m^3
Beijing,2014,4,23,14,154,mcg/m^3
Beijing,2014,4,23,15,143,mcg/m^3
Beijing,2014,4,23,16,139,mcg/m^3
Beijing,2014,4,23,17,126,mcg/m^3
Beijing,2014,4,23,18,98,mcg/m^3
Beijing,2014,4,23,19,101,mcg/m^3
Beijing,2014,4,23,20,71,mcg/m^3
Beijing,2014,4,23,21,73,mcg/m^3
Beijing,2014,4,23,22,80,mcg/m^3
Beijing,2014,4,23,23,82,mcg/m^3
Beijing,2014,4,24,0,76,mcg/m^3
Beijing,2014,4,24,1,84,mcg/m^3
Beijing,2014,4,24,2,89,mcg/m^3
Beijing,2014,4,24,3,91,mcg/m^3
Beijing,2014,4,24,4,96,mcg/m^3
Beijing,2014,4,24,5,107,mcg/m^3
Beijing,2014,4,24,6,109,mcg/m^3
Beijing,2014,4,24,7,112,mcg/m^3
Beijing,2014,4,24,8,119,mcg/m^3
Beijing,2014,4,24,9,122,mcg/m^3
Beijing,2014,4,24,10,125,mcg/m^3
Beijing,2014,4,24,11,121,mcg/m^3
Beijing,2014,4,24,12,128,mcg/m^3
Beijing,2014,4,24,13,135,mcg/m^3
Beijing,2014,4,24,14,136,mcg/m^3
Beijing,2014,4,24,15,121,mcg/m^3
Beijing,2014,4,24,16,117,mcg/m^3
Beijing,2014,4,24,17,105,mcg/m^3
Beijing,2014,4,24,18,100,mcg/m^3
Beijing,2014,4,24,19,117,mcg/m^3
Beijing,2014,4,24,20,118,mcg/m^3
Beijing,2014,4,24,21,121,mcg/m^3
Beijing,2014,4,24,22,140,mcg/m^3
Beijing,2014,4,24,23,139,mcg/m^3
